ResponseId,PROLIFIC_PID,ChartType,actual,analogy,actualOverlay,analogyOverlay
R_5gO1UqtkrYjoJG1,6711c0f9ec8d941dbd4c13c3,Sunburst,/Users/h2o/Desktop/46Sketch/Sunburst Draw/R_5gO1UqtkrYjoJG1_signature.png,/Users/h2o/Desktop/46Sketch/SunburstAnalogy/R_5gO1UqtkrYjoJG1_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_5gO1UqtkrYjoJG1_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_5gO1UqtkrYjoJG1_signature.png_analogy_composite.png
R_2NPYir4R7TNparT,5f600669b846780f0fe45709,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_2NPYir4R7TNparT_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_2NPYir4R7TNparT_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2NPYir4R7TNparT_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2NPYir4R7TNparT_signature.png_analogy_composite.png
R_2ogSACGkgOeUlyx,60aad516e34718d318bfb44d,BubbleChart,/Users/h2o/Desktop/46Sketch/BubbleActual/R_2ogSACGkgOeUlyx_signature.png,/Users/h2o/Desktop/46Sketch/BubbleAnalogy/R_2ogSACGkgOeUlyx_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2ogSACGkgOeUlyx_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2ogSACGkgOeUlyx_signature.png_analogy_composite.png
R_8XdtnDOerVmxevL,66d819a27e8ac8c8dcdb605e,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_8XdtnDOerVmxevL_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_8XdtnDOerVmxevL_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8XdtnDOerVmxevL_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8XdtnDOerVmxevL_signature.png_analogy_composite.png
R_8UchA8DixTiaILz,6631974094690f6997799b7c,ButterflyChart,/Users/h2o/Desktop/46Sketch/ButterflyActual/R_8UchA8DixTiaILz_signature.png,/Users/h2o/Desktop/46Sketch/ButterflyAnalogy/R_8UchA8DixTiaILz_signature.png,,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_8UchA8DixTiaILz_signature.png_analogy_composite.png
R_3QR1YZQLvkFSD1n,67168dec9c8bbf36f6db6cdd,Waterfall,/Users/h2o/Desktop/46Sketch/WaterfallActual/R_3QR1YZQLvkFSD1n_signature.png,/Users/h2o/Desktop/46Sketch/WaterfallAnalogy/R_3QR1YZQLvkFSD1n_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3QR1YZQLvkFSD1n_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3QR1YZQLvkFSD1n_signature.png_analogy_composite.png
R_2EFJWAmpHoDDWkR,666c4699beb014a7b85ccea1,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_2EFJWAmpHoDDWkR_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_2EFJWAmpHoDDWkR_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2EFJWAmpHoDDWkR_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2EFJWAmpHoDDWkR_signature.png_analogy_composite.png
R_3k6WaC2A7idQsf6,62cd43d66c2dd7ae9ab53ae7,BarChart,/Users/h2o/Desktop/46Sketch/BarActual/R_3k6WaC2A7idQsf6_signature.png,/Users/h2o/Desktop/46Sketch/BarAnalogy/R_3k6WaC2A7idQsf6_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3k6WaC2A7idQsf6_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3k6WaC2A7idQsf6_signature.png_analogy_composite.png
R_8qss7plc3WFB8Dn,5c4f5967aac8be0001716a65,Histogram,/Users/h2o/Desktop/46Sketch/HistogramActual/R_8qss7plc3WFB8Dn_signature.png,/Users/h2o/Desktop/46Sketch/HistogramAnalogy/R_8qss7plc3WFB8Dn_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8qss7plc3WFB8Dn_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8qss7plc3WFB8Dn_signature.png_analogy_composite.png
R_21pLeGchQFI4zCp,665905fe269c7299f759eb07,Histogram,/Users/h2o/Desktop/46Sketch/HistogramActual/R_21pLeGchQFI4zCp_signature.png,/Users/h2o/Desktop/46Sketch/HistogramAnalogy/R_21pLeGchQFI4zCp_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_21pLeGchQFI4zCp_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_21pLeGchQFI4zCp_signature.png_analogy_composite.png
R_5I6HyZ54Dk9kHuZ,6717ad4cd05ccb5a351c73a0,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_5I6HyZ54Dk9kHuZ_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_5I6HyZ54Dk9kHuZ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_5I6HyZ54Dk9kHuZ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_5I6HyZ54Dk9kHuZ_signature.png_analogy_composite.png
R_8fddzXFx5le0ShB,667ac09492ea0caadf488520,Histogram,/Users/h2o/Desktop/46Sketch/HistogramActual/R_8fddzXFx5le0ShB_signature.png,/Users/h2o/Desktop/46Sketch/HistogramAnalogy/R_8fddzXFx5le0ShB_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8fddzXFx5le0ShB_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8fddzXFx5le0ShB_signature.png_analogy_composite.png
R_5gYExNnHUVuxUD7,675025ebcbd260ac2b9031ba,Histogram,/Users/h2o/Desktop/46Sketch/HistogramActual/R_5gYExNnHUVuxUD7_signature.png,/Users/h2o/Desktop/46Sketch/HistogramAnalogy/R_5gYExNnHUVuxUD7_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_5gYExNnHUVuxUD7_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_5gYExNnHUVuxUD7_signature.png_analogy_composite.png
R_2RPUiGKMdVkG8fv,6757f3ab9df1c2fad42fa40b,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_2RPUiGKMdVkG8fv_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_2RPUiGKMdVkG8fv_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2RPUiGKMdVkG8fv_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2RPUiGKMdVkG8fv_signature.png_analogy_composite.png
R_1ZmrWkZ2WIFxkYN,60cee4ec871f36088fe20ff3,ButterflyChart,/Users/h2o/Desktop/46Sketch/ButterflyActual/R_1ZmrWkZ2WIFxkYN_signature.png,/Users/h2o/Desktop/46Sketch/ButterflyAnalogy/R_1ZmrWkZ2WIFxkYN_signature.png,,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_1ZmrWkZ2WIFxkYN_signature.png_analogy_composite.png
R_3WBhfzitcPgm05q,6757eff31cf1e45b5c2c89ae,Sunburst,/Users/h2o/Desktop/46Sketch/Sunburst Draw/R_3WBhfzitcPgm05q_signature.png,/Users/h2o/Desktop/46Sketch/SunburstAnalogy/R_3WBhfzitcPgm05q_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_3WBhfzitcPgm05q_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_3WBhfzitcPgm05q_signature.png_analogy_composite.png
